"id_transect";"1";"2";"3";"4";"5"
"101_caffarelli";3065128.86326442;0;0;0;120840.867221977
"102_musee des augustins";2940205.03439197;0;0;0;243198.395364583
"1022_Jardin des plantes Lyon";2755515.84862433;0;0;0;429298.459990347
"103_La plage";2612516.80578219;0;0;0;572464.924337331
"1072_le verger";3185767.07745333;0;0;0;0
"1072_le Verger";3184654.63051852;0;0;0;0
"1072_Le Verger";3187698.89141312;0;0;0;0
"108_PDOD2V JARDINIERES";3184035.09931457;0;0;0;0
"108_PDOD2V THEATRE";3182784.49188296;0;0;0;0
"109_PDB ALLEE AU NORD DU PLAN D'EAU";3184897.37905782;0;0;0;0
"109_PDB CHATEAU";3181998.27461954;0;0;0;0
"109_PDB GARENNE MUSSET";3184573.60835213;0;0;0;0
"109_PDB PARCELLE NORD PRAIRIE";3184311.74965213;0;0;0;0
"109_PDB VERGER";3184561.70884255;156.260564268457;0;0;0
"110_PDL ORCHIDEES PROTEGEES";2270379.63256806;913944.297869167;0;0;0
"112_PDT AIRE DE JEUX";2847690.77932861;334840.454921692;0;0;0
"112_PDT ZONE BOISEE";2836506.4238697;347096.641684993;0;0;0
"1128_Zone 1 Prairie fleurie";2908360.80275924;0;278063.883181159;0;0
"1128_Zone 2 vivaces";2909314.72970596;0;276951.187597143;0;0
"1128_Zone 3 Massifs annuelles";2914664.7345364;0;272822.624287858;0;0
"1128_Zone 4 jardin Français";2916743.57415965;0;270881.732452437;0;0
"1128_Zone 5 Bois sacré";2943488.23220306;0;244781.661296356;0;0
"1132_Zone 2 Milieu Garrigue";3079636.43203034;0;43750.196885844;0;64539.7576163906
"1132_Zone 3 Milieu forestier";2873032.32895591;0;0;0;314017.080465265
"1133_rue de vincennes";3188874.24638704;0;0;0;0
"1134_patriarche";3184537.46083084;0;0;0;0
"1135_jean moulin stade";3138804.9102135;47772.633053783;0;0;0
"1139_pf";3185678.72100285;0;0;0;0
"1150_Transect 2021";2665906.54809095;0;0;427853.877005381;93265.921426271
"1154_Transect 2021";2315409.59919658;0;0;0;871897.637528086
"1159_Transect 2021";2696837.91620085;0;0;0;490276.88695321
"1160_Transect 2021";2438119.11457317;0;0;0;750376.382068363
