"id_releve","transect_habitat","releve_date","jour_julien","heure_debut","heure_fin","temperature","vent","couverture_nuageuse","mois","duree_obs","heure_debut_releve","heure_fin_releve"
"10430","Square urbain",2021-06-02,18780,1899-12-31 14:10:00,1899-12-31 14:20:00,"26-30°C","3 Beaufort (12-19km/h)","nuages 51-75%",6,600,"14","14"
"10431","Prairie",2021-06-02,18780,1899-12-31 14:30:00,1899-12-31 14:40:00,"26-30°C","3 Beaufort (12-19km/h)","nuages 51-75%",6,600,"14","14"
"10432","Lisière de bois",2021-05-28,18775,1899-12-31 15:09:00,1899-12-31 15:20:00,"21-25°C","0 Beaufort (0km/h)","nuages 0-25%",5,660,"15","15"
"10433","Friche",2021-05-28,18775,1899-12-31 13:38:00,1899-12-31 13:48:00,"21-25°C","0 Beaufort (0km/h)","nuages 0-25%",5,600,"13","13"
"10438","Gazon",2021-05-27,18774,1899-12-31 11:23:00,1899-12-31 11:28:00,"16-20°C","0 Beaufort (0km/h)","Ciel dégagé",5,300,"11","11"
"10439","Lisière de bois",2021-05-27,18774,1899-12-31 11:30:00,1899-12-31 11:35:00,"16-20°C","0 Beaufort (0km/h)","Ciel dégagé",5,300,"11","11"
"10440","Prairie",2021-05-27,18774,1899-12-31 12:15:00,1899-12-31 12:20:00,"16-20°C","0 Beaufort (0km/h)","Ciel dégagé",5,300,"12","12"
"10441","Jardin",2021-05-27,18774,1899-12-31 12:20:00,1899-12-31 12:30:00,"16-20°C","0 Beaufort (0km/h)","Ciel dégagé",5,600,"12","12"
"10442","Lisière de bois",2021-05-27,18774,1899-12-31 12:00:00,1899-12-31 12:05:00,"16-20°C","0 Beaufort (0km/h)","Ciel dégagé",5,300,"12","12"
"10443","Bords d’infrastructures",2021-05-27,18774,1899-12-31 13:10:00,1899-12-31 13:20:00,"21-25°C","0 Beaufort (0km/h)","Ciel dégagé",5,600,"13","13"
"10444","Gazon",2021-05-27,18774,1899-12-31 13:20:00,1899-12-31 13:25:00,"21-25°C","0 Beaufort (0km/h)","Ciel dégagé",5,300,"13","13"
"10445","Lisière de bois",2021-05-27,18774,1899-12-31 12:30:00,1899-12-31 12:40:00,"21-25°C","0 Beaufort (0km/h)","Ciel dégagé",5,600,"12","12"
"10446","Jardin",2021-05-27,18774,1899-12-31 12:55:00,1899-12-31 13:05:00,"16-20°C","0 Beaufort (0km/h)","Ciel dégagé",5,600,"12","13"
"10447","Lisière de bois",2021-05-27,18774,1899-12-31 14:05:00,1899-12-31 14:15:00,"21-25°C","0 Beaufort (0km/h)","Ciel dégagé",5,600,"14","14"
