"id_transect_annee","transect_coordonnees","transect_type_prairie","transect_paturage_prairie","transect_rythme_fauchage_prairie","amendements","semis_sursemis","duree","longueur_transect","geometry"
"105_PDBSE NOUVELLES PLANTATIONS_2023","{""type"": ""LineString"", ""coordinates"": [[-0.6805649155608405, 44.842502058956164], [-0.6794330233638669, 44.842224393372035]]}","Prairie sans distinction","Non pâturée","Fauche tardive","[]","Je ne sais pas",1800,94.4316183780484,c(-0.679998969462354, 44.8423632261641)
"106_PDR PRAIRIE BOUCLE_2019","{""type"": ""LineString"", ""coordinates"": [[-0.6644185262880232, 44.84378818816826], [-0.664520450227121, 44.8445717129261], [-0.664928146001478, 44.84462115830794], [-0.6652339178277543, 44.844545088473126], [-0.6656577068485611, 44.844526071001916], [-0.6656738001039941, 44.844392948508535], [-0.6655235963985976, 44.84434350293082], [-0.6653841215331507, 44.84428645029233], [-0.665196366901405, 44.84422179056411], [-0.6650622564514416, 44.844210380015554], [-0.6648101288069473, 44.84418755891165], [-0.6646599251015508, 44.84417234483949], [-0.6645633655779366, 44.844088667367586], [-0.6644507127988892, 44.84379959880044]]}","Prairie sans distinction","Non pâturée","Plusieurs fauches","[]","Non",1800,324.214150121195,c(-0.665005930061918, 44.844268247222)
"106_PDR PRAIRIE BOUCLE_2020","{""type"": ""LineString"", ""coordinates"": [[-0.6644185262880232, 44.84378818816826], [-0.664520450227121, 44.8445717129261], [-0.664928146001478, 44.84462115830794], [-0.6652339178277543, 44.844545088473126], [-0.6656577068485611, 44.844526071001916], [-0.6656738001039941, 44.844392948508535], [-0.6655235963985976, 44.84434350293082], [-0.6653841215331507, 44.84428645029233], [-0.665196366901405, 44.84422179056411], [-0.6650622564514416, 44.844210380015554], [-0.6648101288069473, 44.84418755891165], [-0.6646599251015508, 44.84417234483949], [-0.6645633655779366, 44.844088667367586], [-0.6644507127988892, 44.84379959880044]]}","Prairie sans distinction","Non pâturée","Plusieurs fauches","[]","Non",3000,324.214150121195,c(-0.665005930061918, 44.844268247222)
"1081_gs Langevin_2022","{""type"": ""LineString"", ""coordinates"": [[2.376877, 48.775949], [2.376809, 48.775761], [2.37675, 48.775549], [2.376878, 48.775444], [2.377224, 48.775641], [2.376873, 48.775946]]}","Prairie sans distinction","Pâturée","Non fauchée","[]","Non",2700,136.504696326515,c(2.37690183333333, 48.775715)
"1081_gs Langevin_2023","{""type"": ""LineString"", ""coordinates"": [[2.376877, 48.775949], [2.376809, 48.775761], [2.37675, 48.775549], [2.376878, 48.775444], [2.377224, 48.775641], [2.376873, 48.775946]]}","Prairie sans distinction","Pâturée","Non fauchée","[]","Non",1800,136.504696326515,c(2.37690183333333, 48.775715)
"109_PDB PARCELLE NORD PRAIRIE_2019","{""type"": ""LineString"", ""coordinates"": [[-0.6349580535116048, 44.83911133177196], [-0.6341480263873571, 44.83906758744878]]}","Prairie sèche (calcicole)","Non pâturée","Fauche tardive","[]","Non",1800,64.0534218260825,c(-0.634553039949481, 44.8390894596104)
"109_PDB PARCELLE NORD PRAIRIE_2020","{""type"": ""LineString"", ""coordinates"": [[-0.6349580535116048, 44.83911133177196], [-0.6341480263873571, 44.83906758744878]]}","Prairie sèche (calcicole)","Non pâturée","Fauche tardive","[]","Non",1800,64.0534218260825,c(-0.634553039949481, 44.8390894596104)
"10_Malnoue Nord1_2021","{""type"": ""LineString"", ""coordinates"": [[2.594597772176051, 48.83195962604049], [2.5944905408375414, 48.832222926664734], [2.594423485608068, 48.83231650377973], [2.594259870863963, 48.83238006549144], [2.5940587051845263, 48.832429502323244], [2.5939648278686533, 48.83247011111118], [2.593712700224159, 48.83246304871281], [2.5934444793242317, 48.83238183109258], [2.5931092031948313, 48.832337691021976], [2.5929241307708275, 48.83229355091841], [2.592776609273172, 48.83225294198737], [2.592629087784501, 48.83217525523751], [2.592521799420937, 48.83205166243937], [2.592513752797712, 48.83193866304367]]}","Prairie sans distinction","Non pâturée","Fauche tardive","[]","Non",2700,213.117794163029,c(2.59353049752351, 48.832262384276)
"110_PDL ORCHIDEES PROTEGEES_2017","{""type"": ""LineString"", ""coordinates"": [[-0.6327145644853769, 44.825075313075196], [-0.6332188197833484, 44.82476332032135]]}","Prairie humide","Non pâturée","Fauche tardive","[]","Non",1800,52.7741331598844,c(-0.632966692134363, 44.8249193166983)
"110_PDL ORCHIDEES PROTEGEES_2019","{""type"": ""LineString"", ""coordinates"": [[-0.6327145644853769, 44.825075313075196], [-0.6332188197833484, 44.82476332032135]]}","Prairie humide","Non pâturée","Fauche tardive","[]","Non",1800,52.7741331598844,c(-0.632966692134363, 44.8249193166983)
"110_PDL ORCHIDEES PROTEGEES_2020","{""type"": ""LineString"", ""coordinates"": [[-0.6327145644853769, 44.825075313075196], [-0.6332188197833484, 44.82476332032135]]}","Prairie humide","Non pâturée","Fauche tardive","[]","Non",1800,52.7741331598844,c(-0.632966692134363, 44.8249193166983)
"110_PDL ORCHIDEES PROTEGEES_2021","{""type"": ""LineString"", ""coordinates"": [[-0.6327145644853769, 44.825075313075196], [-0.6332188197833484, 44.82476332032135]]}","Prairie humide","Non pâturée","Fauche tardive","[]","Non",1200,52.7741331598844,c(-0.632966692134363, 44.8249193166983)
"110_PDL ORCHIDEES PROTEGEES_2022","{""type"": ""LineString"", ""coordinates"": [[-0.6327145644853769, 44.825075313075196], [-0.6332188197833484, 44.82476332032135]]}","Prairie humide","Non pâturée","Fauche tardive","[]","Non",900,52.7741331598844,c(-0.632966692134363, 44.8249193166983)
"110_PDL ORCHIDEES PROTEGEES_2023","{""type"": ""LineString"", ""coordinates"": [[-0.6327145644853769, 44.825075313075196], [-0.6332188197833484, 44.82476332032135]]}","Prairie humide","Non pâturée","Fauche tardive","[]","Je ne sais pas",2700,52.7741331598844,c(-0.632966692134363, 44.8249193166983)
"111_Lilas - Prairie pâturée_2022","{""type"": ""LineString"", ""coordinates"": [[2.388418545264003, 48.77673017486471], [2.388606299886765, 48.77658523455078], [2.3890381355397796, 48.77673370999342], [2.3889093895053, 48.776954654774535], [2.3884346385104527, 48.77673547755472]]}","Prairie sans distinction","Non pâturée","Fauche tardive","[]","Non",2400,125.674843035749,c(2.38868140174126, 48.7767478503476)
"111_Lilas - Talus long rue Paul Armangot_2015","{""type"": ""LineString"", ""coordinates"": [[2.381163239483815, 48.77952470846121], [2.3821395635599094, 48.780196340249844]]}","Prairie semée","Non pâturée","Fauche tardive","[]","Oui",3600,103.416929846592,c(2.38165140152186, 48.7798605243555)
"111_Lilas - Talus long rue Paul Armangot_2022","{""type"": ""LineString"", ""coordinates"": [[2.381163239483815, 48.77952470846121], [2.3821395635599094, 48.780196340249844]]}","Prairie sans distinction","Non pâturée","Fauche tardive","[]","Non",2340,103.416929846592,c(2.38165140152186, 48.7798605243555)
"1122_Bassin de rétention_2021","{""type"": ""LineString"", ""coordinates"": [[-0.268111, 49.284139], [-0.266882, 49.283862], [-0.265348, 49.28367]]}","Prairie humide","Non pâturée","Fauche tardive","[""espaces-verts.amendements.aucun""]","Non",2700,207.612015601238,c(-0.266780333333333, 49.2838903333333)
"1137_montreau gestion 3_2022","{""type"": ""LineString"", ""coordinates"": [[2.473868, 48.865337], [2.474143, 48.865029], [2.474615, 48.864535], [2.474958, 48.864411], [2.475224, 48.864448], [2.4754, 48.864699], [2.47564, 48.86475], [2.475846, 48.864625], [2.475941, 48.864747], [2.476138, 48.86488]]}","Prairie sans distinction","Non pâturée","Fauche tardive","[""espaces-verts.amendements.aucun""]","Non",2100,258.691299174557,c(2.4751773, 48.8647461)
