"Amaryllis","Argus vert","Azuré des nerpruns","Azuré porte-queue","Belle-Dame","Brun des pélargoniums","Carte géographique","Citrons","Demi-Deuil et Echiquiers","Flambés","Gazé","Grand Nacré et Tabac d'Espagne","Grande Tortue","Machaons","Mars changeants","Myrtil","Paon du jour","Petites Tortues","Procris","Robert le diable","Silène","Souci","Tircis","Tristan","Vulcain"
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0
0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,11,0,0,2,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,2,0,0
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,1,4,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,11,2,0,0
10,0,1,3,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0
7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,6,0,0
0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
