id_transect_annee,transect_coordonnees,transect_type_prairie,transect_paturage_prairie,transect_rythme_fauchage_prairie,amendements,semis_sursemis,duree,longueur_transect,geometry,HPrai_sp,simpPrai_sp,SPrai_sp,JPrai_sp,NPrai_sp,NPrai_sp_ab,log_NPrai_sp,logNPrai_sp,id_transect,annee,classe_habitat,habitat,axe1_1000,axe2_1000,axe3_1000,axe4_1000,axe1_5000,axe2_5000,axe3_5000,axe1_10000,axe2_10000,axe3_10000,site_id,degre_fauche,logN
105_PDBSE NOUVELLES PLANTATIONS_2023,"{""type"": ""LineString"", ""coordinates"": [[-0.6805649155608405, 44.842502058956164], [-0.6794330233638669, 44.842224393372035]]}",Prairie sans distinction,Non pâturée,Fauche tardive,[],Je ne sais pas,1800,94.43161837804838,"c(-0.679998969462354, 44.8423632261641)",1.3208883431493221,0.71875,4,0.9528195311147832,8.471738743238234,8,2.248312495755161,2.136735770151074,105_PDBSE NOUVELLES PLANTATIONS,2023,0_Territoires artificialisés sans végétation,Territoires artificialisés sans végétation,-0.9288014891716644,2.083063799090684,0.15128233777539496,-2.122724182237426,-0.5510965417356762,0.24587658056003744,-0.8111726574226178,-0.4299113169707212,1.8784749751689456,-0.114804060202988,105,1.Fauche tardive,2.136735770151074
106_PDR PRAIRIE BOUCLE_2019,"{""type"": ""LineString"", ""coordinates"": [[-0.6644185262880232, 44.84378818816826], [-0.664520450227121, 44.8445717129261], [-0.664928146001478, 44.84462115830794], [-0.6652339178277543, 44.844545088473126], [-0.6656577068485611, 44.844526071001916], [-0.6656738001039941, 44.844392948508535], [-0.6655235963985976, 44.84434350293082], [-0.6653841215331507, 44.84428645029233], [-0.665196366901405, 44.84422179056411], [-0.6650622564514416, 44.844210380015554], [-0.6648101288069473, 44.84418755891165], [-0.6646599251015508, 44.84417234483949], [-0.6645633655779366, 44.844088667367586], [-0.6644507127988892, 44.84379959880044]]}",Prairie sans distinction,Non pâturée,Plusieurs fauches,[],Non,1800,324.2141501211952,"c(-0.665005930061918, 44.844268247222)",1.3372952378958223,0.6260387811634349,6,0.7463586831060366,5.860324107660807,19,1.925754686636431,1.7682049105340043,106_PDR PRAIRIE BOUCLE,2019,1_Tissu urbain discontinu,Tissu urbain discontinu,-1.2098499533058975,0.12064323102129876,0.01894839968599494,-0.4782603658781775,-1.032391282725657,0.14075312340801585,-0.7106627722646682,-0.6523218345565556,1.3911597456215328,-0.1839388983136045,106,3.Plusieurs fauches,1.7682049105340043
106_PDR PRAIRIE BOUCLE_2020,"{""type"": ""LineString"", ""coordinates"": [[-0.6644185262880232, 44.84378818816826], [-0.664520450227121, 44.8445717129261], [-0.664928146001478, 44.84462115830794], [-0.6652339178277543, 44.844545088473126], [-0.6656577068485611, 44.844526071001916], [-0.6656738001039941, 44.844392948508535], [-0.6655235963985976, 44.84434350293082], [-0.6653841215331507, 44.84428645029233], [-0.665196366901405, 44.84422179056411], [-0.6650622564514416, 44.844210380015554], [-0.6648101288069473, 44.84418755891165], [-0.6646599251015508, 44.84417234483949], [-0.6645633655779366, 44.844088667367586], [-0.6644507127988892, 44.84379959880044]]}",Prairie sans distinction,Non pâturée,Plusieurs fauches,[],Non,3000,324.2141501211952,"c(-0.665005930061918, 44.844268247222)",1.0027399543973452,0.6020761245674741,3,0.9127332405984696,5.243447885801775,17,1.8315325755856802,1.65697927542378,106_PDR PRAIRIE BOUCLE,2020,1_Tissu urbain discontinu,Tissu urbain discontinu,-1.2098499533058975,0.12064323102129876,0.01894839968599494,-0.4782603658781775,-1.032391282725657,0.14075312340801585,-0.7106627722646682,-0.6523218345565556,1.3911597456215328,-0.1839388983136045,106,3.Plusieurs fauches,1.65697927542378
1081_gs Langevin_2022,"{""type"": ""LineString"", ""coordinates"": [[2.376877, 48.775949], [2.376809, 48.775761], [2.37675, 48.775549], [2.376878, 48.775444], [2.377224, 48.775641], [2.376873, 48.775946]]}",Prairie sans distinction,Pâturée,Non fauchée,[],Non,2700,136.50469632651524,"c(2.37690183333333, 48.775715)",0,1,0,-0,0,0,0,-Inf,1081_gs Langevin,2022,1_Tissu urbain discontinu,Tissu urbain discontinu,-0.447304562803881,-1.001827162235967,-0.43338709084585125,0.6818390513345253,-1.7307706461199015,0.18295651696382775,-0.26832592764083757,-2.478583000318215,0.1667617413367909,0.1385830325334068,1081,0.Non fauchée,-Inf
1081_gs Langevin_2023,"{""type"": ""LineString"", ""coordinates"": [[2.376877, 48.775949], [2.376809, 48.775761], [2.37675, 48.775549], [2.376878, 48.775444], [2.377224, 48.775641], [2.376873, 48.775946]]}",Prairie sans distinction,Pâturée,Non fauchée,[],Non,1800,136.50469632651524,"c(2.37690183333333, 48.775715)",0,1,0,-0,0,0,0,-Inf,1081_gs Langevin,2023,1_Tissu urbain discontinu,Tissu urbain discontinu,-0.447304562803881,-1.001827162235967,-0.43338709084585125,0.6818390513345253,-1.7307706461199015,0.18295651696382775,-0.26832592764083757,-2.478583000318215,0.1667617413367909,0.1385830325334068,1081,0.Non fauchée,-Inf
109_PDB PARCELLE NORD PRAIRIE_2019,"{""type"": ""LineString"", ""coordinates"": [[-0.6349580535116048, 44.83911133177196], [-0.6341480263873571, 44.83906758744878]]}",Prairie sèche (calcicole),Non pâturée,Fauche tardive,[],Non,1800,64.05342182608247,"c(-0.634553039949481, 44.8390894596104)",1.1187433359857524,0.5972222222222221,4,0.8070027314271102,18.73436212757273,12,2.9823613867060894,2.930359384565567,109_PDB PARCELLE NORD PRAIRIE,2019,1_Tissu urbain discontinu,Tissu urbain discontinu,-1.3647749395755728,-0.96545536102506,-0.05392863619650831,0.43145371571891994,-1.624462417388944,0.10707207338177788,-0.3193276288279648,-0.8768760438193766,0.6914053325301206,-0.21668915453516707,109,1.Fauche tardive,2.930359384565567
109_PDB PARCELLE NORD PRAIRIE_2020,"{""type"": ""LineString"", ""coordinates"": [[-0.6349580535116048, 44.83911133177196], [-0.6341480263873571, 44.83906758744878]]}",Prairie sèche (calcicole),Non pâturée,Fauche tardive,[],Non,1800,64.05342182608247,"c(-0.634553039949481, 44.8390894596104)",0,0,1,NA,10.92837790775076,7,2.4789202593675657,2.3913628838328798,109_PDB PARCELLE NORD PRAIRIE,2020,1_Tissu urbain discontinu,Tissu urbain discontinu,-1.3647749395755728,-0.96545536102506,-0.05392863619650831,0.43145371571891994,-1.624462417388944,0.10707207338177788,-0.3193276288279648,-0.8768760438193766,0.6914053325301206,-0.21668915453516707,109,1.Fauche tardive,2.3913628838328798
10_Malnoue Nord1_2021,"{""type"": ""LineString"", ""coordinates"": [[2.594597772176051, 48.83195962604049], [2.5944905408375414, 48.832222926664734], [2.594423485608068, 48.83231650377973], [2.594259870863963, 48.83238006549144], [2.5940587051845263, 48.832429502323244], [2.5939648278686533, 48.83247011111118], [2.593712700224159, 48.83246304871281], [2.5934444793242317, 48.83238183109258], [2.5931092031948313, 48.832337691021976], [2.5929241307708275, 48.83229355091841], [2.592776609273172, 48.83225294198737], [2.592629087784501, 48.83217525523751], [2.592521799420937, 48.83205166243937], [2.592513752797712, 48.83193866304367]]}",Prairie sans distinction,Non pâturée,Fauche tardive,[],Non,2700,213.1177941630291,"c(2.59353049752351, 48.832262384276)",0,1,0,-0,0,0,0,-Inf,10_Malnoue Nord1,2021,1_Tissu urbain discontinu,Tissu urbain discontinu,0.546988613111848,-0.18776058683995392,1.051101995572098,-1.4145384949618056,-0.9534579158978466,0.345338752008187,-0.8908485954176768,-0.705459874241197,0.7871343574290258,-0.5102113543596241,10,1.Fauche tardive,-Inf
110_PDL ORCHIDEES PROTEGEES_2017,"{""type"": ""LineString"", ""coordinates"": [[-0.6327145644853769, 44.825075313075196], [-0.6332188197833484, 44.82476332032135]]}",Prairie humide,Non pâturée,Fauche tardive,[],Non,1800,52.77413315988437,"c(-0.632966692134363, 44.8249193166983)",0,0,1,NA,1.8948676939333189,1,1.0629394084031722,0.6391490175921195,110_PDL ORCHIDEES PROTEGEES,2017,2_Terres arables et/ou Cultures permanentes,Terres arables et/ou Cultures permanentes,-0.08076297479712559,-0.9636766526330376,-0.6553046415602142,0.6410857707577997,-1.825321576832887,0.15937553190766054,-0.30084723345944225,-0.6663861862486634,0.8532989780869995,-0.2744923449466664,110,1.Fauche tardive,0.6391490175921195
110_PDL ORCHIDEES PROTEGEES_2019,"{""type"": ""LineString"", ""coordinates"": [[-0.6327145644853769, 44.825075313075196], [-0.6332188197833484, 44.82476332032135]]}",Prairie humide,Non pâturée,Fauche tardive,[],Non,1800,52.77413315988437,"c(-0.632966692134363, 44.8249193166983)",1.310783678099714,0.7160493827160493,4,0.9455305560363264,17.05380924539987,9,2.893356701039701,2.8363735949283386,110_PDL ORCHIDEES PROTEGEES,2019,2_Terres arables et/ou Cultures permanentes,Terres arables et/ou Cultures permanentes,-0.08076297479712559,-0.9636766526330376,-0.6553046415602142,0.6410857707577997,-1.825321576832887,0.15937553190766054,-0.30084723345944225,-0.6663861862486634,0.8532989780869995,-0.2744923449466664,110,1.Fauche tardive,2.8363735949283386
