id_transect,transect_coordonnees,annee,id_transect_annee,geometry,longueur_transect,longueur
1121_Parc de l'abbaye,"{""type"": ""LineString"", ""coordinates"": [[-0.257253, 49.276961], [-0.258879, 49.277892]]}",2021,1121_Parc de l'abbaye_2021,,,156.94086726529522
1122_Bassin de rétention,"{""type"": ""LineString"", ""coordinates"": [[-0.268111, 49.284139], [-0.266882, 49.283862], [-0.265348, 49.28367]]}",2021,1122_Bassin de rétention_2021,,,207.61201560123806
1123_Ripisylve et verger,"{""type"": ""LineString"", ""coordinates"": [[3.608043, 43.988902], [3.608859, 43.989373], [3.609588, 43.989975], [3.610017, 43.990446], [3.610286, 43.990685], [3.611112, 43.991163]]}",2021,1123_Ripisylve et verger_2021,,,354.0903745101593
1124_Chemin de Campelle,"{""type"": ""LineString"", ""coordinates"": [[3.600463, 43.993081], [3.599927, 43.993483], [3.600281, 43.993502], [3.599621, 43.994004]]}",2021,1124_Chemin de Campelle_2021,,,167.1714059844238
112_PDT AIRE DE JEUX,"{""type"": ""LineString"", ""coordinates"": [[-0.6161971222486476, 44.82112560692016], [-0.6165350805768066, 44.820946769760994]]}",2021,112_PDT AIRE DE JEUX_2021,,,33.2559614220132
112_PDT ZONE BOISEE,"{""type"": ""LineString"", ""coordinates"": [[-0.6170982874559724, 44.820494208621206], [-0.6159985817608813, 44.82049801370103]]}",2021,112_PDT ZONE BOISEE_2021,,,86.73785135974397
110_PDL ORCHIDEES PROTEGEES,"{""type"": ""LineString"", ""coordinates"": [[-0.6327145644853769, 44.825075313075196], [-0.6332188197833484, 44.82476332032135]]}",2021,110_PDL ORCHIDEES PROTEGEES_2021,,,52.77413315988437
110_PDL VERGER,"{""type"": ""LineString"", ""coordinates"": [[-0.633559403312161, 44.82511930981496], [-0.6343855236828585, 44.82455620014237]]}",2021,110_PDL VERGER_2021,,,90.36381650705121
110_PDL ZONE BOISEE,"{""type"": ""LineString"", ""coordinates"": [[-0.6351177097305953, 44.82486272862593], [-0.6366733909573591, 44.824805656691396]]}",2021,110_PDL ZONE BOISEE_2021,,,122.85564812857376
109_PDB ALLEE AU NORD DU PLAN D'EAU,"{""type"": ""LineString"", ""coordinates"": [[-0.6333002862178009, 44.83718275075573], [-0.6328778383008647, 44.83727880117491], [-0.6326102879483816, 44.83727737468218], [-0.6323427375958982, 44.837241712422646], [-0.6318881031680964, 44.83720272164524], [-0.6314281043248112, 44.83723981042898]]}",2021,109_PDB ALLEE AU NORD DU PLAN D'EAU_2021,,,150.15661928212177
109_PDB CHATEAU,"{""type"": ""LineString"", ""coordinates"": [[-0.6293161212989761, 44.838446472472576], [-0.6295092403551881, 44.837723727550475]]}",2021,109_PDB CHATEAU_2021,,,81.79555029428042
109_PDB GARENNE MUSSET,"{""type"": ""LineString"", ""coordinates"": [[-0.6271715811623046, 44.836867366172655], [-0.6273216138105047, 44.835363589375845]]}",2021,109_PDB GARENNE MUSSET_2021,,,167.63058655510616
109_PDB VERGER,"{""type"": ""LineString"", ""coordinates"": [[-0.630587545395434, 44.836127708995825], [-0.6296273145657898, 44.83594511431092]]}",2021,109_PDB VERGER_2021,,,78.39065700989934
109_PDB PARCELLE NORD PRAIRIE,"{""type"": ""LineString"", ""coordinates"": [[-0.6349580535116048, 44.83911133177196], [-0.6341480263873571, 44.83906758744878]]}",2021,109_PDB PARCELLE NORD PRAIRIE_2021,,,64.05342182608247
108_PDOD2V THEATRE,"{""type"": ""LineString"", ""coordinates"": [[-0.6316881930729152, 44.84524793790082], [-0.6313180482249072, 44.84577281129711]]}",2021,108_PDOD2V THEATRE_2021,,,65.25220960939254
108_PDOD2V JARDINIERES,"{""type"": ""LineString"", ""coordinates"": [[-0.6311825396550017, 44.84576829873471], [-0.6306165935520234, 44.84626654373875]]}",2021,108_PDOD2V JARDINIERES_2021,,,71.1350068952109
106_PDR PRAIRIE BOUCLE,"{""type"": ""LineString"", ""coordinates"": [[-0.6644185262880232, 44.84378818816826], [-0.664520450227121, 44.8445717129261], [-0.664928146001478, 44.84462115830794], [-0.6652339178277543, 44.844545088473126], [-0.6656577068485611, 44.844526071001916], [-0.6656738001039941, 44.844392948508535], [-0.6655235963985976, 44.84434350293082], [-0.6653841215331507, 44.84428645029233], [-0.665196366901405, 44.84422179056411], [-0.6650622564514416, 44.844210380015554], [-0.6648101288069473, 44.84418755891165], [-0.6646599251015508, 44.84417234483949], [-0.6645633655779366, 44.844088667367586], [-0.6644507127988892, 44.84379959880044]]}",2021,106_PDR PRAIRIE BOUCLE_2021,,,324.2141501211952
105_PDBSE NOUVELLES PLANTATIONS,"{""type"": ""LineString"", ""coordinates"": [[-0.6805649155608405, 44.842502058956164], [-0.6794330233638669, 44.842224393372035]]}",2021,105_PDBSE NOUVELLES PLANTATIONS_2021,,,94.43161837804838
105_PDBSE DEPUIS L'ENTREE VERS LE PLAN D'EAU,"{""type"": ""LineString"", ""coordinates"": [[-0.6822492858060135, 44.841733962494864], [-0.6809296389683112, 44.84181383971442]]}",2021,105_PDBSE DEPUIS L'ENTREE VERS LE PLAN D'EAU_2021,,,104.42418403844451
105_PDBSE AUTOUR DU PLAN D'EAU,"{""type"": ""LineString"", ""coordinates"": [[-0.6807713316146354, 44.841810277760125], [-0.6808036857601165, 44.84176689207987], [-0.6808038534037149, 44.84169307691713], [-0.6807183579892805, 44.84156066106747], [-0.6805044518185792, 44.84150883574769], [-0.6802858517798385, 44.84153831437846], [-0.6801098318136999, 44.841678813106604], [-0.6800620549602298, 44.8417851972809], [-0.6800679222975249, 44.84186875923631], [-0.6801037968417896, 44.84195600586547], [-0.6801772223213868, 44.84203944871122], [-0.680364641674919, 44.84210102041236], [-0.6805466966129677, 44.842078911663], [-0.6806962297619372, 44.842004264847]]}",2021,105_PDBSE AUTOUR DU PLAN D'EAU_2021,,,174.14880140709622
167_Port Darblay,"{""type"": ""LineString"", ""coordinates"": [[2.4837669435306733, 48.59022468744044], [2.483592599946619, 48.590088080024245], [2.4835148158771956, 48.590008244352845], [2.483496040414021, 48.589924860290346], [2.4834719005353634, 48.5898716363515], [2.4834155741458397, 48.58980244514839], [2.4833512011330914, 48.58972260901976], [2.483327061254433, 48.58961970894065], [2.483327061254433, 48.589529227663675], [2.483327061254433, 48.58949197061948], [2.483345836717608, 48.58943874622469], [2.483498722630746, 48.589413908153794], [2.4836167398252766, 48.589401489113776], [2.483823269920197, 48.589394392515565], [2.4839117828116026, 48.58939971495987], [2.483919829443811, 48.58949551890889], [2.4839037361883785, 48.589625031361216], [2.4839037361883785, 48.589781155519695], [2.483922511651553, 48.58988760353785], [2.4839520159546775, 48.58997985830674], [2.483960062577902, 48.59009162827774]]}",2021,167_Port Darblay_2021,,,216.09185250108814
168_Parc François Mitterrand,"{""type"": ""LineString"", ""coordinates"": [[2.500753541596519, 48.610387652509125], [2.5005711513802567, 48.61023868569319], [2.5004155832593775, 48.610125186872644], [2.5001956421257487, 48.61000814094248], [2.4999113279614056, 48.60983789184164], [2.499680715012882, 48.60975653934422], [2.4993803076020886, 48.609657226941174], [2.4988975099750337, 48.609536633044634], [2.498564916062358, 48.60944441399208], [2.498178677958917, 48.609373476141094]]}",2021,168_Parc François Mitterrand_2021,,,225.1435353187033
211_1 : Entrée de service,"{""type"": ""LineString"", ""coordinates"": [[7.2319801836772815, 43.68734411102928], [7.231969454837331, 43.68739453952522], [7.231947997166416, 43.687423632866974], [7.231851437642802, 43.6875186710214], [7.23172269160832, 43.687574918020516], [7.231534936976575, 43.68770098869575], [7.2314142375743025, 43.68780766366603], [7.231314995842946, 43.687922096614734], [7.231215754102607, 43.68800549675822], [7.231164792137551, 43.68806368283495], [7.231108465748027, 43.688150961844215], [7.231041410518553, 43.68819557107265], [7.230950215410423, 43.68820526872095], [7.23080269392175, 43.68823048261223], [7.230703452181411, 43.68823048261223], [7.230620303705489, 43.68823824073298]]}",2021,211_1 : Entrée de service_2021,,,157.7445824992046
211_2 : Zone naturelle,"{""type"": ""LineString"", ""coordinates"": [[7.230452893714055, 43.6876471825377], [7.2303751096536155, 43.68768403394936], [7.230305372225383, 43.6877267039736], [7.2302114949095095, 43.68780428575513], [7.2301176175936375, 43.687901262845806], [7.230037151316473, 43.68800017932235], [7.229975460511466, 43.6880932770237], [7.229940591792858, 43.68816116067722], [7.229919134121943, 43.6882251651963], [7.229900358658767, 43.68829886728678], [7.2299030408665095, 43.68835123449835], [7.229911087498718, 43.6884036016707], [7.229911087498718, 43.688428815478595], [7.229860125524677, 43.6884423921395], [7.229838667853762, 43.68841523881462], [7.22982525680607, 43.68838032737608], [7.229814527975103, 43.68829692775377], [7.2298359856460195, 43.68824650002299], [7.229860125524677, 43.68819025365363], [7.229892312035543, 43.68812237003303], [7.2299030408665095, 43.688064184006734], [7.229929862961893, 43.688013756080274], [7.229967413888241, 43.68796914671663], [7.230015693645557, 43.68791483962612], [7.230077384450563, 43.687864411574104], [7.230152486303261, 43.68780622530407], [7.230206130485044, 43.68774028079343]]}",2021,211_2 : Zone naturelle_2021,,,193.83309429838718
